items	group
Rih-Teng Wu, Ting-Wei Liu, Mohammad R. Jahanshahi, Fabio Semperlotti (2021). “Design of one-dimensional acoustic metamaterials using machine learning and cell concatenation.” Structural and Multidisciplinary Optimization, DOI:10.1007/s00158-020-02819-6, in press.	Metamaterial
Tarutal Ghosh Mondal, Mohammad R. Jahanshahi, Rih-Teng Wu, Zheng Yi Wu (2020). “Deep learning-based multi-class damage detection for autonomous post-disaster reconnaissance.” Structural Control and Health Monitoring, 27(4), DOI: 10.1002/stc.2507, in press.	Artificial
Ting-Yu Hsu, Rih-Teng Wu, Chia-Wei Liang, Chun-Hsiang Kuo, Che-Min Lin (2020). “Peak ground acceleration estimation using P-wave parameters and horizontal-to-vertical spectral ratios.” Terrestrial, Atmospheric and Oceanic Sciences, 31(1), 1-8.	Resource
Fu-Chen Chen, Mohammad R. Jahanshahi, Rih-Teng Wu, Chris Joffe (2017). “A texture‐based video processing methodology using Bayesian data fusion for autonomous crack detection on metallic surfaces.” Computer‐Aided Civil and Infrastructure Engineering, 32(4), 271-287.	Metamaterial
